,dataset,model,attack,metrics.success_rate,metrics.outliers,metrics.outlier_rate,metrics.idsr
37,adult,MLP,baseline,0.51,42/255,0.16470588235294117,0.42600000000000005
42,adult,SoftDecisionTree,baseline,0.494,28/247,0.11336032388663968,0.438
43,adult,TabTransformer,baseline,0.29,13/145,0.0896551724137931,0.264
44,phishing_url,MLP,baseline,0.98,87/490,0.17755102040816326,0.8059999999999999
45,phishing_url,SoftDecisionTree,baseline,0.744,30/372,0.08064516129032258,0.6839999999999999
46,phishing_url,TabTransformer,baseline,0.97,82/485,0.16907216494845362,0.8059999999999999
47,pendigit,MLP,baseline,0.908,25/454,0.05506607929515418,0.8580000000000001
48,pendigit,SoftDecisionTree,baseline,0.538,12/269,0.04460966542750929,0.514
49,pendigit,TabTransformer,baseline,0.974,42/487,0.08624229979466119,0.8899999999999999
50,german_credit,MLP,baseline,0.09395973154362416,0/14,0.0,0.09395973154362416
52,german_credit,SoftDecisionTree,baseline,0.1111111111111111,0/17,0.0,0.1111111111111111
53,german_credit,TabTransformer,baseline,0.1342281879194631,1/20,0.05,0.12751677852348992
54,electricity,MLP,baseline,0.802,12/401,0.029925187032418952,0.778
55,electricity,SoftDecisionTree,baseline,0.888,20/444,0.04504504504504504,0.848
56,electricity,TabTransformer,baseline,0.828,9/414,0.021739130434782608,0.8099999999999999
57,covertype,MLP,baseline,0.8873239436619719,159/441,0.36054421768707484,0.5674044265593562
58,covertype,SoftDecisionTree,baseline,0.9295774647887324,152/462,0.329004329004329,0.6237424547283702
60,covertype,TabTransformer,baseline,0.9899396378269618,131/492,0.266260162601626,0.7263581488933603
115,adult,MLP,pgd,0.592,235/296,0.793918918918919,0.12199999999999997
121,adult,SoftDecisionTree,pgd,0.576,212/288,0.7361111111111112,0.15199999999999997
122,adult,TabTransformer,pgd,0.428,109/214,0.5093457943925234,0.21
123,phishing_url,MLP,pgd,0.93,360/465,0.7741935483870968,0.21000000000000002
124,phishing_url,SoftDecisionTree,pgd,0.928,339/464,0.7306034482758621,0.24999999999999997
125,phishing_url,TabTransformer,pgd,0.902,291/451,0.6452328159645233,0.32
126,pendigit,MLP,pgd,0.66,21/330,0.06363636363636363,0.6180000000000001
127,pendigit,SoftDecisionTree,pgd,0.744,19/372,0.051075268817204304,0.7060000000000001
128,pendigit,TabTransformer,pgd,0.696,20/348,0.05747126436781609,0.6559999999999999
129,german_credit,MLP,pgd,0.18120805369127516,2/27,0.07407407407407407,0.16778523489932884
130,german_credit,SoftDecisionTree,pgd,0.1568627450980392,2/24,0.08333333333333333,0.1437908496732026
131,german_credit,TabTransformer,pgd,0.18120805369127516,5/27,0.18518518518518517,0.1476510067114094
132,electricity,MLP,pgd,0.732,34/366,0.09289617486338798,0.664
133,electricity,SoftDecisionTree,pgd,0.802,34/401,0.08478802992518704,0.734
134,electricity,TabTransformer,pgd,0.716,11/358,0.030726256983240222,0.694
135,covertype,MLP,pgd,0.8511066398390342,196/423,0.46335697399527187,0.4567404426559356
136,covertype,SoftDecisionTree,pgd,0.8953722334004024,186/445,0.41797752808988764,0.5211267605633803
137,covertype,TabTransformer,pgd,0.8913480885311871,161/443,0.36343115124153497,0.5674044265593562
199,adult,MLP,deltaz,0.734,117/367,0.3188010899182561,0.5
208,adult,SoftDecisionTree,deltaz,0.532,27/266,0.10150375939849623,0.47800000000000004
209,adult,TabTransformer,deltaz,0.038,0/19,0.0,0.038
210,phishing_url,MLP,deltaz,0.826,15/413,0.03631961259079903,0.7959999999999999
211,phishing_url,SoftDecisionTree,deltaz,0.658,7/329,0.02127659574468085,0.644
212,phishing_url,TabTransformer,deltaz,0.858,19/429,0.04428904428904429,0.8200000000000001
213,german_credit,MLP,deltaz,0.08053691275167785,0/12,0.0,0.08053691275167785
214,german_credit,SoftDecisionTree,deltaz,0.06535947712418301,0/10,0.0,0.06535947712418301
215,german_credit,TabTransformer,deltaz,0.10738255033557047,1/16,0.0625,0.10067114093959731
216,electricity,MLP,deltaz,0.658,6/329,0.0182370820668693,0.646
217,electricity,SoftDecisionTree,deltaz,0.662,7/331,0.021148036253776436,0.648
218,electricity,TabTransformer,deltaz,0.622,3/311,0.00964630225080386,0.616
